name,address,loc_id,latitude&longitude
"ソユーゲームフィールド盛岡南","岩手県 盛岡市 本宮 7-1-1　イオンモール盛岡南1F","-F8jxSRXQL9aFB-mRSXwLA","39.683567 141.128669"
"モーリーファンタジーイオン盛岡南","岩手県 盛岡市 本宮 7-1-1　イオンモール盛岡南　イオン盛岡南店3F","keYiMZmvMVkkgXcnR3Czxg","39.683561 141.12868"
"タイトーFステーション盛岡南","岩手県 盛岡市 津志田町 2-1-77","qJChK7LLBnEYwhJNoOKizg","39.666612 141.157142"
"モーリーファンタジーサンサ盛岡南","岩手県 盛岡市 津志田西 2-17-50　盛岡南SCサンサ内","nd41ebUMAzpaOfYNh1vfVA","39.661971 141.148142"
"モーリーファンタジー盛岡渋民","岩手県 盛岡市 玉山区渋民 字鶴飼20-1　イオン盛岡渋民SC　イオンスーパーセンター盛岡渋民店1F","2Y1UHx5P9Oh49h5qGfjBFg","39.849976 141.172806"
"ラウンドワンスタジアム盛岡","岩手県 盛岡市 盛岡駅西通 2-10-35","lhPjYxW30376WQgOUSimRQ","39.7003775 141.1331941"
"ファミリーらんどDORA宮古","岩手県 宮古市 小山田 2-2-1　マリンコープDORA2F","Hj1dcu04bdg2rW0lS5cU3Q","39.632168 141.941891"
"さんさんらんど大船渡","岩手県 大船渡市 盛町字町 10-11　(協)南三陸SCサン・リア1F","pMPei8KdYsvyi7yOuYj_hA","39.087787 141.709238"
"ゲオ大船渡","岩手県 大船渡市 立根町 字桑原28-2","gCVr1AZaeARz58nDKaH9RA","39.108586 141.712652"
"ファミリーランド花巻","岩手県 花巻市 下小舟渡 118-1　イトーヨーカドー花巻店2F","bkGCN-zrfaMf_5yB47eUKA","39.392972 141.117623"
"ソユーファミリーゲームフィールド花巻","岩手県 花巻市 高木 第16地割68-6　銀河モール花巻1F","6ODpT1TwiAON5B7x5OMWOA","39.386541 141.136803"
"チャットタウン北上","岩手県 北上市 北鬼柳 19-68　江釣子SCパル2F","DEGec8EGqQgPFch02GAusg","39.293188 141.093097"
"アミューズメントゾーン北上","岩手県 北上市 本通り 2-2-1　さくら野百貨店北上店4F","-FabGdDnZd7_udefynEPjg","39.288443 141.115825"
