name,address,loc_id,latitude&longitude,pcb_count
"モーリーファンタジースーパーセンター一関","岩手県 一関市 狐禅寺 字石ノ瀬11-1　イオンスーパーセンター一関店1F","-Iz0AryYjPkYaKY6ZDm_hw","","","2"
"ソユーゲームフィールド釜石","岩手県 釜石市 港町 2-51-41　イオンタウン釜石3F","-5JbKSsfwK-jpbgonWFYOw","","","2"
"ニコアプレイランド","岩手県 二戸市 米沢 字荒谷25　二戸SCニコア内","fYYKP-_trl-Egzmcr_4SOg","","","2"
"モーリーファンタジー盛岡","岩手県 盛岡市 前潟 4-7-1　イオンモール盛岡　イオン盛岡店2F","8xGeetwBhdUCN6oLGd3-KA","","","1"
"ゲームシアターサンシャイン","岩手県 盛岡市 大通 2-7-21　ソレントビル1・2F","gcMGf2nzDfuCGlrf-VVH0g","","","1"
"タイトーFステーション盛岡南","岩手県 盛岡市 津志田町 2-1-77","qJChK7LLBnEYwhJNoOKizg","","","1"
"モーリーファンタジー盛岡渋民","岩手県 盛岡市 玉山区渋民 字鶴飼20-1　イオン盛岡渋民SC　イオンスーパーセンター盛岡渋民店1F","2Y1UHx5P9Oh49h5qGfjBFg","","","1"
"ファミリーらんどDORA宮古","岩手県 宮古市 小山田 2-2-1　マリンコープDORA2F","Hj1dcu04bdg2rW0lS5cU3Q","","","1"
"さんさんらんど大船渡","岩手県 大船渡市 盛町字町 10-11　(協)南三陸SCサン・リア1F","pMPei8KdYsvyi7yOuYj_hA","","","1"
"ゲオ大船渡","岩手県 大船渡市 立根町 字桑原28-2","gCVr1AZaeARz58nDKaH9RA","","","1"
"ファミリーランド花巻","岩手県 花巻市 下小舟渡 118-1　CiiNA CiiNA花巻2F","bkGCN-zrfaMf_5yB47eUKA","","","1"
"ソユーファミリーゲームフィールド花巻","岩手県 花巻市 高木 第16地割68-6　銀河モール花巻1F","6ODpT1TwiAON5B7x5OMWOA","","","1"
"PALO久慈","岩手県 久慈市 長内町 第30地割32-2　久慈SC1F","11iFvkYszXcMpKa_Dj_orw","","","1"
"モーリーファンタジー遠野","岩手県 遠野市 新穀町 1-11　遠野SCとぴあ2F","DbeHYvUztQCIXncfIMspfQ","","","1"
"モーリーファンタジー一関","岩手県 一関市 山目 字泥田89-1　イオン一関店2F","KrlDpjRKE41tO9CzDs96Wg","","","1"
"モーリーファンタジー前沢","岩手県 奥州市 前沢区 字向田2-85　イオン前沢SC　イオン前沢店2F","kawHQPtoZwRw6OvR9BNYnw","","","1"
"キッズパーク","岩手県 奥州市 水沢区佐倉河字東沖ノ目 123　岩手生協コープAterui2F","tiqy7YcBblh2F1C9hj2SLw","","","1"
"GiGO 水沢","岩手県 奥州市 水沢区佐倉河字鐙田 4-1","PuQ-PUHcChffynbuiZFi7g","","","1"
"アミューズメントパークアルコ","岩手県 紫波郡矢巾町 南矢幅 7-425-3　ショッピングモールアルコ内","bzrizmk8rrv8LBLBGtUwzQ","","","1"
"キッズランド紫波","岩手県 紫波郡紫波町 桜町 1-12-1　ショッピングセンターNACS","G5j7unZoQQXJJQlyCLU1Kg","","","1"
"ゲームランドプレーゴ金ヶ崎","岩手県 胆沢郡金ケ崎町 三ケ尻荒巻 165　イオンスーパーセンター金ヶ崎店内","RBMaLp4oaYnv5OyKJqL0Sw","","","1"
"山田レジャーセンター","岩手県 下閉伊郡山田町 川向町 5-11　白土ビル1F","sSw0hC0OSY8E_6zRdSU4JQ","","","1"
"namcoBiVi仙台駅東口","宮城県 仙台市宮城野区 榴岡 2-1-25　BiVi仙台駅東口内","FhJoeWB0Le_S43yZuEddBw","","","8"
