shop,address,id,place
"GiGO 我孫子","千葉県 我孫子市 柴崎 47-1","BNOuDcma_jbTp2CAX92b1w","35.8781872 140.0300415"
"GiGO 所沢","埼玉県 所沢市 日吉町 8-1","PF_YYJTnOs6U1wVExPcdbQ","35.7884621 139.4719074"
"GiGO 掛川","静岡県 掛川市 細田 248","RhCAHN7sK8RD4UAtY8erKA","34.773874 137.98533"
"GiGO 新三国アルゴ７","大阪府 豊中市 神州町 1-15","1EfhnCSo134xvfPbovm2Rw","34.738668 135.479417"
"GiGO 新大久保","東京都 新宿区 百人町 2-10-1　南雲ビルB1F","yHO_xyw3mDBqSu0oggn-Ew","35.701786 139.699514"
"GiGO 新宿歌舞伎町","東京都 新宿区 歌舞伎町 1-21-1　第二東亜会館1・2F","5gJkcHIk7sqR7gJn30EUvg","35.695223 139.701313"
"GiGO 新居浜","愛媛県 新居浜市 徳常町 6-8","66gZz2RdZ50Lkw2EJkpHOQ","33.964102 133.278141"
"GiGO 新杉田","神奈川県 横浜市磯子区 杉田 1-1-1　らびすた新杉田2F","OLKTYMadAAtvWIItlgQmSw","35.38582242 139.6192789"
"GiGO 日光","栃木県 日光市 芹沼 1448-1","i6KvwNZ9lac-gO0ACR8UDw","36.741095 139.71014"
"GiGO 日和田","福島県 郡山市 日和田町字西中島 7-1","b5VJW7FjVufUMegXbku1cw","37.448201 140.380413"
